Hotel,Area,Room,Supply,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Demand,Date
晶華酒店,Taipei,538,16678,0.87,5811.17,84418912,135434068,275731329,5061.69,14527,8/1/2019
東⽅渡假酒店,Scenery,112,3472,0.01,2459.58,98383,0,98383,28.34,40,8/1/2019
板橋凱撒大飯店,Others,400,12400,0.9,3960.17,44227137,13588822,57916667,3566.7,11168,8/1/2019
桃園喜來登酒店,Taoyuan-Hsinchu-Miaoli,187,5797,0.18,2551.21,2706832,5677955,9321694,466.94,1061,8/1/2019
樂樂日暉溫泉酒店,Others,48,1488,0,0,0,0,0,0,0,8/1/2019
歐華酒店,Taipei,112,3472,0.48,3145.89,5197018,5956011,12210432,1496.84,1652,8/1/2019
洛碁⼤飯店花華本館,Taipei,112,3472,0.91,1863.03,5885318,0,5885318,1695.08,3159,8/1/2019
海灣藝術酒店,Taichung,226,7006,0.28,1447.99,2849642,482509,3441597,406.74,1968,8/1/2019
涵碧樓⼤飯店,Scenery,96,2976,0.88,14164.83,37140175,6718499,47438710,12479.9,2622,8/1/2019
漢來⼤飯店,Kaohsiung,535,16585,0.77,2972.69,37851228,66119718,119220428,2282.26,12733,8/1/2019
澎湖福朋喜來登酒店,Others,331,10261,0.53,2957.56,16174908,15432208,35230878,1576.35,5469,8/1/2019
瑞穗天合國際觀光酒店,Hualien,198,6138,0.59,8218.99,29900677,12977706,48853358,4871.4,3638,8/1/2019
瓏⼭林台北中和飯店,Others,126,3906,0.34,2520.72,3370198,2546976,6816299,862.83,1337,8/1/2019
知本老爺大酒店,Scenery,182,5642,0.72,4227.13,17288955,10362771,31576149,3064.33,4090,8/1/2019
碧特弗⼤飯店,Others,54,1674,0.31,2228.32,1138670,61247,1199917,680.21,511,8/1/2019
礁溪老爺大酒店,Scenery,193,5983,0.83,6891.67,34382536,26969994,74460818,5746.7,4989,8/1/2019
神旺⼤飯店,Taipei,268,8308,0.86,2366.71,16910161,29238648,49563401,2035.41,7145,8/1/2019
福容大飯店(台北一館),Taipei,120,3720,0.67,2980.35,7382324,8793164,17190234,1984.5,2477,8/1/2019
福容大飯店(林口),Taoyuan-Hsinchu-Miaoli,149,4619,0.88,2155.52,8721252,2920040,11677526,1888.13,4046,8/1/2019
